czywiesz2974;co symbolizuje szkarłatna szata na obrazie Córki Cekropsa znajdują Erichtoniosa pędzla Jacoba Jordaensa?;f6/3d/58/4a/b4/3c/be/03/f2/e1/fa/ba/b4/f2/c3/5a/wikiC_243_rki#Cekropsa#znajduj_261_#Erichtoniosa/wikiC_243_rki#Cekropsa#znajduj_261_#Erichtoniosa.xml;wikiC_243_rki#Cekropsa#znajduj_261_#Erichtoniosa
czywiesz479;kto wygrał stoczoną w 1656 roku Bitwę pod Lubrzem?;c5/a1/e7/3d/38/3e/5f/d3/e0/d7/d1/0f/70/0b/b9/da/wikiBitwa#pod#Lubrzem/wikiBitwa#pod#Lubrzem.xml;wikiBitwa#pod#Lubrzem
czywiesz1235;dokąd prowadzi droga duchów?;fc/ca/37/07/06/93/c7/04/48/f0/b2/5f/90/ea/f0/6b/wikiShendao/wikiShendao.xml;wikiShendao
czywiesz109;który medalista Halowych Mistrzostw Europy w Lekkoatletyce 2000 został dożywotnio zdyskwalifikowany za doping?;96/c8/36/1e/bd/12/6a/60/f7/5c/52/33/50/3a/0e/a9/wikiMiroslav#Menc/wikiMiroslav#Menc.xml;wikiMiroslav#Menc
czywiesz4264;jaką długość miała najdłuższa linia autobusowa w Szczecinie?;bf/68/f8/f1/28/49/fd/9b/cf/e3/a9/3c/ae/1c/b3/a1/wikiKomunikacja#autobusowa#w#Szczecinie/wikiKomunikacja#autobusowa#w#Szczecinie.xml;wikiKomunikacja#autobusowa#w#Szczecinie
czywiesz2080;czym zajmują się uczestnicy projektu Milky Way?;17/53/84/58/a7/22/96/10/49/60/24/f6/9d/af/67/fe/wikiMilky#Way#Project/wikiMilky#Way#Project.xml;wikiMilky#Way#Project
czywiesz3122;co wymyślono jako jedno z usprawiedliwień rokoszu Zebrzydowskiego?;f3/77/42/d6/26/f4/fe/c9/02/b3/8d/08/0f/ff/91/91/wikiRokosz#glinia_324_ski/wikiRokosz#glinia_324_ski.xml;wikiRokosz#glinia_324_ski
czywiesz885;co ma wspólnego bytomska Krystyna z pyrlikiem?;54/f2/d8/36/43/bf/69/e5/66/38/1a/13/c7/7b/41/36/wikiSzyb#Krystyna/wikiSzyb#Krystyna.xml;wikiSzyb#Krystyna
czywiesz4601;ile książek napisał koreański autor Ko Un?;df/34/d9/b7/43/3e/3f/43/78/d3/45/46/b9/76/ed/09/wikiKo#Un/wikiKo#Un.xml;wikiKo#Un
czywiesz3820;gdzie znajduje się 14 278 kamiennych stel z wyrytym tekstem kanonu pism buddyjskich Tripitaki?;59/bb/b5/67/62/d3/e0/17/ae/fe/40/2a/c5/ec/2d/30/wiki_346_wi_261_tynia#Yunju/wiki_346_wi_261_tynia#Yunju.xml;wiki_346_wi_261_tynia#Yunju
